"title","platform_name","manufacturer","genre_name","year","total_sales","critic_score","score_tier"
Call of Duty: Ghosts,Xbox 360,Microsoft,Shooter,2013,10.4100,6.90,Mixed (5-7)
Cooking Mama,Nintendo DS,Nintendo,Simulation,2006,5.6600,6.60,Mixed (5-7)
Crash Bandicoot: The Wrath of Cortex,PlayStation 2,Sony,Platform,2001,5.4200,6.90,Mixed (5-7)
Medal of Honor: Rising Sun,PlayStation 2,Sony,Shooter,2003,5.1300,5.90,Mixed (5-7)
FIFA 15,PlayStation 3,Sony,Sports,2014,4.5600,6.90,Mixed (5-7)
Mario & Sonic at the Olympic Winter Games,Nintendo Wii,Nintendo,Sports,2009,4.5400,6.80,Mixed (5-7)
Michael Jackson: The Experience,Nintendo Wii,Nintendo,Misc,2010,4.3700,5.60,Mixed (5-7)
Teenage Mutant Ninja Turtles,Nintendo Entertainment System,Nintendo,Platform,1989,4.1700,5.90,Mixed (5-7)
Star Wars Battlefront (2015),Xbox One,Microsoft,Shooter,2015,4.1500,6.90,Mixed (5-7)
Carnival Games,Nintendo Wii,Nintendo,Misc,2007,4.0600,4.20,Poor (<5)
MySims,Nintendo DS,Nintendo,Simulation,2007,3.6600,6.70,Mixed (5-7)
The Simpsons: Road Rage,PlayStation 2,Sony,Racing,2001,3.6100,6.10,Mixed (5-7)
Cooking Mama 2: Dinner With Friends,Nintendo DS,Nintendo,Simulation,2007,3.5800,6.90,Mixed (5-7)
Grand Theft Auto 2,PlayStation,Sony,Action,1999,3.4200,6.90,Mixed (5-7)
Crash Bash,PlayStation,Sony,Misc,2000,3.3900,6.80,Mixed (5-7)
"007: Tomorrow Never Dies",PlayStation,Sony,Shooter,1999,3.2100,6.20,Mixed (5-7)
FIFA 15,Xbox 360,Microsoft,Sports,2014,2.9100,6.90,Mixed (5-7)
Sega Superstars Tennis,Xbox 360,Microsoft,Sports,2008,2.8900,6.90,Mixed (5-7)
Cooking Mama: Cook Off,Nintendo Wii,Nintendo,Simulation,2007,2.8900,5.90,Mixed (5-7)
Imagine: Babyz,Nintendo DS,Nintendo,Simulation,2007,2.8700,3.50,Poor (<5)
